GeneID,Pseudo_bulk_expression
Pyap00001,0.1564477132
Pyap00002,0.0056056554
Pyap00003,0.15326623039999998
Pyap00004,0.014735118200000003
Pyap00005,0.0
Pyap00006,0.06911709900000002
Pyap00007,0.0029753244000000002
Pyap00008,0.002323698
Pyap00009,0.273776697
Pyap00010,0.7966707432
Pyap00011,0.0006099224
Pyap00012,0.0258016668
Pyap00013,1.070308917
Pyap00014,1.8200025468
Pyap00015,4.91736e-05
Pyap00016,0.0
Pyap00017,0.06440794
Pyap00018,0.7640597692
Pyap00019,0.0246795048
Pyap00020,0.042493377
Pyap00021,0.0148845324
Pyap00022,0.0
Pyap00023,0.039216832800000004
Pyap00024,0.0024561872000000004
Pyap00025,0.08174885960000002
Pyap00026,0.122078972
Pyap00027,0.1164970426
Pyap00028,1.3124415454
Pyap00029,1.351286421
Pyap00030,0.0008767505999999999
Pyap00031,3.68924e-05
Pyap00032,0.10388266320000002
Pyap00033,0.0047344298
Pyap00034,0.28744483400000004
Pyap00035,1.2313315008
Pyap00036,1.1295965021999999
Pyap00037,2.5960000000000002e-05
Pyap00038,0.7417387944
Pyap00039,1.3964907608
Pyap00040,4.5430145060000005
Pyap00041,0.46949829160000006
Pyap00042,1.751816221
Pyap00043,1.1682224548
Pyap00044,0.0785311394
Pyap00045,0.00150526
Pyap00046,0.2500147714
Pyap00047,0.5216740468
Pyap00048,0.4875940228
Pyap00049,1.5021510934
Pyap00050,0.2800117974
Pyap00051,0.2741404728
Pyap00052,0.5588525876000001
Pyap00053,1.0840000000000001e-05
Pyap00054,0.0
Pyap00055,0.27075809819999996
Pyap00056,0.5808021524000001
Pyap00057,0.0946635324
Pyap00058,0.8935684183999999
Pyap00059,0.039254642
Pyap00060,0.0
Pyap00061,0.001506496
Pyap00062,0.00011875499999999998
Pyap00063,0.4243293074
Pyap00064,1.7386077067999999
Pyap00065,0.0029438052000000004
Pyap00066,1.4376561444
Pyap00067,1.3832622572000002
Pyap00068,0.2632330402
Pyap00069,2.3862288788
Pyap00070,0.16875483000000002
Pyap00071,0.9545562148
Pyap00072,4.8748e-05
Pyap00073,2.0915767668
Pyap00074,0.0053904552
Pyap00075,1.0320381372
Pyap00076,0.7502304186
Pyap00077,2.1839331852
Pyap00078,0.3336363494
Pyap00079,0.46734617580000004
Pyap00080,2.17808e-05
Pyap00081,0.0020164960000000004
Pyap00082,0.3924179938
Pyap00083,0.058971308599999994
Pyap00084,0.0205185948
Pyap00085,0.0383431896
Pyap00086,0.040092756199999996
Pyap00087,0.0007419234
Pyap00088,0.0017722649999999999
Pyap00089,0.5406291289999999
Pyap00090,0.44211655800000005
Pyap00091,0.42518298439999996
Pyap00092,0.008713412200000001
Pyap00093,0.2127691432
Pyap00094,0.0181298482
Pyap00095,0.0038469126
Pyap00096,0.8172619149999999
Pyap00097,0.0129434742
Pyap00098,0.2803126716
Pyap00099,0.4873974018
Pyap00100,0.131342758
Pyap00101,0.2627116758
Pyap00102,0.0006033582
Pyap00103,0.0024264426
Pyap00104,0.0735279232
Pyap00105,0.004104478000000001
Pyap00106,0.0
Pyap00107,0.0
Pyap00108,0.0012569430000000002
Pyap00109,0.0009489411999999999
Pyap00110,0.0
Pyap00111,0.0021838738
Pyap00112,0.0
Pyap00113,1.3999999999999998e-05
Pyap00114,0.0
Pyap00115,9.66422e-05
Pyap00116,0.0046660904000000005
Pyap00117,0.49232501400000006
Pyap00118,0.344725884
Pyap00119,1.0095227603999999
Pyap00120,0.0011357406
Pyap00121,0.0
Pyap00122,0.00024093919999999998
Pyap00123,0.0006758510000000001
Pyap00124,0.0039394098
Pyap00125,0.0892207328
Pyap00126,0.4917755538
Pyap00127,0.0486940162
Pyap00128,0.3971510056
Pyap00129,0.11029795459999998
Pyap00130,0.00048536040000000003
Pyap00131,0.0
Pyap00132,1.6100000000000002e-05
Pyap00133,0.0004680426
Pyap00134,0.7903399828
Pyap00135,0.057570872400000014
Pyap00136,0.43654607720000005
Pyap00137,0.1336074378
Pyap00138,3.6762e-05
Pyap00139,2.0419214996
Pyap00140,0.00010981280000000001
Pyap00141,0.2405136838
Pyap00142,0.3172047068
Pyap00143,0.6685672782000001
Pyap00144,0.0001447
Pyap00145,0.0008405563999999999
Pyap00146,0.6763116396
Pyap00147,0.19832272020000002
Pyap00148,0.37775462719999997
Pyap00149,0.3132658094
Pyap00150,0.295474455
Pyap00151,0.0
Pyap00152,0.0023367948
Pyap00153,0.1202173182
Pyap00154,1.2330814424
Pyap00155,2.1329000000000002e-05
Pyap00156,0.2852527656
Pyap00157,1.4435496282
Pyap00158,1.6895045268
Pyap00159,0.0002054594
Pyap00160,0.000596415
Pyap00161,0.1185917764
Pyap00162,0.7821562794
Pyap00163,0.9321576134
Pyap00164,0.8950610908
Pyap00165,0.057332020000000004
Pyap00166,0.0
Pyap00167,1.103043328
Pyap00168,0.007373301799999998
Pyap00169,0.4483610976
Pyap00170,1.3896165178
Pyap00171,0.1518618986
Pyap00172,0.0072998384
Pyap00173,0.27696050539999995
Pyap00174,0.013717178800000002
Pyap00175,8.053098473599999
Pyap00176,0.770828685
Pyap00177,0.8945105856
Pyap00178,0.188820544
Pyap00179,0.11784348120000002
Pyap00180,0.0718519366
Pyap00181,0.22953721959999998
Pyap00182,0.5420725747999999
Pyap00183,0.1307526318
Pyap00184,0.0329806362
Pyap00185,0.0690567812
Pyap00186,0.4002206314
Pyap00187,2.7306632604
Pyap00188,0.09024143339999999
Pyap00189,0.2939286542
Pyap00190,0.8083513096000001
Pyap00191,0.0013812020000000002
Pyap00192,0.0009338702000000001
Pyap00193,0.15225973499999998
Pyap00194,1.341982257
Pyap00195,0.048533852800000006
Pyap00196,0.0
Pyap00197,0.0021468054000000005
Pyap00198,0.0024953821999999996
Pyap00199,0.0
Pyap00200,0.419810476
Pyap00201,0.1581450164
Pyap00202,0.007398691000000001
Pyap00203,0.001249383
Pyap00204,3.7383200000000005e-05
Pyap00205,1.2350097086
Pyap00206,7.24914e-05
Pyap00207,0.5268995056000001
Pyap00208,0.30691804200000006
Pyap00209,0.0203962652
Pyap00210,0.5079878388
Pyap00211,3.1819300218
Pyap00212,0.21432558419999997
Pyap00213,0.0011088536
Pyap00214,0.2737774368
Pyap00215,0.0
Pyap00216,5.6205e-05
Pyap00217,0.0005670872
Pyap00218,0.9264504584
Pyap00219,0.0033474334
Pyap00220,0.0006789796
Pyap00221,0.0028717397999999997
Pyap00222,0.6153619196000001
Pyap00223,0.0
Pyap00224,0.2351052196
Pyap00225,0.029325372199999998
Pyap00226,0.40935872580000005
Pyap00227,0.359503546
Pyap00228,8.490820000000001e-05
Pyap00229,2.6984440669999996
Pyap00230,0.3191365604
Pyap00231,2.2867779302
Pyap00232,0.352287649
Pyap00233,0.027946382599999996
Pyap00234,1.581333248
Pyap00235,0.0001668946
Pyap00236,0.0017211525999999999
Pyap00237,0.9381579302
Pyap00238,0.15572238180000003
Pyap00239,0.516041878
Pyap00240,0.0005635306
Pyap00241,0.3338943122
Pyap00242,0.24743884619999998
Pyap00243,0.44496772500000004
Pyap00244,0.0
Pyap00245,0.7088554123999999
Pyap00246,0.1337690792
Pyap00247,0.09258428560000001
Pyap00248,0.0089455414
Pyap00249,0.000348103
Pyap00250,7.60434e-05
Pyap00251,1.3018436172
Pyap00252,1.1377736802
Pyap00253,0.4761515396
Pyap00254,2.9756832197999996
Pyap00255,17.978485528
Pyap00256,0.5972517762
Pyap00257,0.3067592311999999
Pyap00258,0.4043384904
Pyap00259,0.744097798
Pyap00260,0.2735867938
Pyap00261,0.0059320342
